
 num     #instances         #bytes  class name
 337:            62           1488  org.springframework.core.MethodIntrospector$$Lambda$420/366916060
 338:            46           1472  java.io.DataInputStream
 339:            46           1472  org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory$$Lambda$172/1806431167
 340:            46           1472  org.springframework.beans.factory.support.AbstractBeanFactory$$Lambda$171/423583818
 341:            61           1464  org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter
 342:            26           1456  java.lang.invoke.LambdaFormEditor$Transform
 343:            30           1440  java.time.temporal.ValueRange
 344:            45           1440  java.util.regex.Pattern$Branch
 345:            45           1440  sun.reflect.generics.tree.MethodTypeSignature
 346:            87           1392  org.apache.commons.logging.LogFactory$1
 347:            58           1392  org.springframework.core.convert.TypeDescriptor
 348:             1           1376  [Lsun.misc.FDBigInteger;
 349:            14           1344  org.springframework.beans.GenericTypeAwarePropertyDescriptor
 350:            33           1320  java.io.ObjectOutputStream$BlockDataOutputStream
 351:            55           1320  sun.misc.ProxyGenerator$ExceptionTableEntry
 352:            41           1312  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 353:            45           1304  [Ljava.util.regex.Pattern$Node;
 354:            18           1296  com.fasterxml.jackson.databind.deser.DefaultDeserializationContext$Impl
 355:            54           1296  java.rmi.server.ObjID
 356:             9           1296  java.text.DecimalFormat
 357:            27           1296  org.springframework.beans.SimpleTypeConverter
 358:            53           1272  java.util.regex.Pattern$Single
 359:            79           1264  java.util.jar.Attributes
 360:            46           1224  [Ljava.lang.annotation.ElementType;
 361:            51           1224  java.util.regex.Pattern$BitClass
 362:            38           1216  java.io.ObjectInputStream$HandleTable
 363:            38           1216  java.io.ObjectInputStream$PeekInputStream
 364:            38           1216  java.security.BasicPermissionCollection
 365:            38           1216  org.springframework.core.annotation.AttributeMethods
 366:            15           1200  com.fasterxml.jackson.databind.DeserializationConfig
 367:            75           1200  com.sun.proxy.$Proxy24
 368:            30           1200  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 369:            10           1200  java.net.SocksSocketImpl
 370:            30           1200  java.time.temporal.ChronoField
 371:            30           1200  java.util.PropertyResourceBundle
 372:            42           1192  [[Ljava.lang.annotation.Annotation;
 373:            38           1184  [Ljava.math.BigInteger;
 374:            37           1184  jdk.internal.org.objectweb.asm.Type
 375:            49           1176  java.lang.RuntimePermission
 376:            73           1168  com.sun.proxy.$Proxy48
 377:            71           1136  java.util.HashMap$KeySet
 378:            70           1120  java.util.HashMap$Values
 379:            23           1104  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 380:            69           1104  org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$Source
 381:            23           1104  sun.management.DiagnosticCommandInfo
 382:            36           1096  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser;
 383:            43           1088  [Ljavax.management.MBeanOperationInfo;
 384:            34           1088  java.net.Inet6Address
 385:            34           1088  java.net.Inet6Address$Inet6AddressHolder
 386:            34           1088  org.springframework.beans.factory.support.DefaultListableBeanFactory$$Lambda$255/2015301874
 387:            34           1088  org.springframework.format.support.FormattingConversionService$AnnotationParserConverter
 388:            34           1088  org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter
 389:            45           1080  sun.reflect.generics.tree.FormalTypeParameter
 390:            45           1056  [Lsun.reflect.generics.tree.TypeSignature;
 391:            33           1056  java.io.FilePermission
 392:            44           1056  java.util.regex.Pattern$Slice
 393:            33           1056  sun.rmi.transport.StreamRemoteCall
 394:            66           1056  sun.rmi.transport.Transport$$Lambda$237/928185170
 395:            33           1056  sun.rmi.transport.Transport$1
 396:            39           1048  [Lorg.springframework.http.MediaType;
 397:             1           1040  [Ljava.lang.Byte;
 398:             1           1040  [Ljava.lang.Integer;
 399:             1           1040  [Ljava.lang.Long;
 400:             1           1040  [Ljava.lang.Short;
 401:             1           1040  [[C
 402:            65           1040  com.sun.proxy.$Proxy22
 403:            43           1032  sun.reflect.generics.scope.MethodScope
 404:            32           1024  java.util.regex.Pattern$Curly
 405:            32           1024  org.springframework.boot.context.properties.bind.Bindable
 406:            14           1008  java.beans.PropertyDescriptor
 407:            14           1008  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask
 408:            21           1008  sun.misc.ProxyGenerator$MethodInfo
 409:            25           1000  sun.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl
 410:            12            960  com.fasterxml.jackson.databind.SerializationConfig
 411:            12            960  com.sun.org.apache.xalan.internal.xsltc.trax.TransformerFactoryImpl
 412:            30            960  java.lang.invoke.SimpleMethodHandle
 413:            30            960  java.security.Provider$EngineDescription
 414:            24            960  java.time.format.DateTimeFormatter
 415:            40            960  org.springframework.boot.autoconfigure.condition.OnClassCondition
 416:            12            960  sun.net.www.protocol.jar.URLJarFile
 417:            17            952  java.util.concurrent.ConcurrentHashMap$ValueIterator
 418:            59            944  org.apache.juli.logging.DirectJDKLog
 419:            39            936  java.net.InterfaceAddress
 420:            39            936  org.springframework.boot.context.properties.PropertyMapper$Source
 421:            58            928  org.springframework.core.annotation.AnnotatedElementUtils$AnnotatedElementForAnnotations
 422:            29            928  org.springframework.format.support.FormattingConversionService$PrinterConverter
 423:            38            912  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 424:            28            896  com.fasterxml.jackson.databind.DeserializationFeature
 425:            28            896  com.fasterxml.jackson.databind.MapperFeature
 426:            16            896  com.fasterxml.jackson.databind.cfg.BaseSettings
 427:             8            896  java.util.GregorianCalendar
 428:            37            888  java.net.Inet4Address
 429:            37            888  org.springframework.core.annotation.SynthesizedMergedAnnotationInvocationHandler$$Lambda$258/1204088028
 430:            37            888  org.springframework.core.annotation.SynthesizedMergedAnnotationInvocationHandler$$Lambda$259/1552221437
 431:            10            880  java.net.DualStackPlainSocketImpl
 432:             6            864  [Lcom.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket;
 433:            36            864  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser
 434:             6            864  sun.reflect.MethodAccessorGenerator
 435:            21            840  com.sun.jmx.mbeanserver.MXBeanSupport
 436:            21            840  javax.management.MBeanOperationInfo
 437:            15            840  javax.management.openmbean.ArrayType
 438:            21            840  sun.util.locale.BaseLocale$Key
 439:            26            832  java.lang.ArrayIndexOutOfBoundsException
 440:            26            832  java.nio.file.attribute.FileTime
 441:            26            832  java.util.TreeMap$KeyIterator
 442:             8            832  sun.net.www.protocol.file.FileURLConnection
 443:            34            816  java.util.Collections$3
 444:            17            816  java.util.concurrent.ThreadPoolExecutor$Worker
 445:            34            816  org.springframework.boot.context.properties.source.SpringConfigurationPropertySources$SourcesIterator
 446:            25            800  com.fasterxml.jackson.databind.SerializationFeature
 447:            25            800  java.lang.StackTraceElement
 448:            25            800  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser
 449:            25            800  org.springframework.core.type.StandardAnnotationMetadata
 450:            33            792  java.io.ObjectOutputStream$ReplaceTable
 451:            33            792  org.springframework.beans.factory.support.ConstructorResolver
 452:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping
 453:            24            768  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference
 454:            32            768  java.io.FilePermissionCollection
 455:            12            768  java.text.DateFormatSymbols
 456:            16            768  java.util.Properties
 457:            24            768  sun.reflect.ClassFileAssembler
 458:             8            768  sun.util.calendar.Gregorian$Date
